id,hand,session,Accelerometer X,Accelerometer Y,Accelerometer Z,datetime
TD6,dx,dom,0.391,-0.133,-0.922,2017-06-06 16:09:22.425000
TD6,dx,dom,0.543,-0.168,-0.922,2017-06-06 16:09:22.437500
TD6,dx,dom,0.742,-0.246,-0.93,2017-06-06 16:09:22.450000
TD6,dx,dom,0.898,-0.273,-0.953,2017-06-06 16:09:22.462500
TD6,dx,dom,0.949,-0.238,-0.957,2017-06-06 16:09:22.475000
TD6,dx,dom,0.898,-0.156,-0.902,2017-06-06 16:09:22.487500
TD6,dx,dom,0.84,0.012,-0.773,2017-06-06 16:09:22.500000
TD6,dx,dom,0.836,0.254,-0.574,2017-06-06 16:09:22.512500
TD6,dx,dom,0.957,0.621,-0.379,2017-06-06 16:09:22.525000
TD6,dx,dom,1.07,1.102,-0.238,2017-06-06 16:09:22.537500
TD6,dx,dom,0.895,1.465,-0.25,2017-06-06 16:09:22.550000
TD6,dx,dom,0.469,1.426,-0.359,2017-06-06 16:09:22.562500
TD6,dx,dom,0.078,1.184,-0.508,2017-06-06 16:09:22.575000
TD6,dx,dom,0.043,0.867,-0.656,2017-06-06 16:09:22.587500
TD6,dx,dom,0.348,0.586,-0.625,2017-06-06 16:09:22.600000
TD6,dx,dom,0.84,0.27,-0.699,2017-06-06 16:09:22.612500
TD6,dx,dom,1.168,-0.23,-0.77,2017-06-06 16:09:22.625000
TD6,dx,dom,0.855,-0.402,-0.586,2017-06-06 16:09:22.637500
TD6,dx,dom,0.547,-0.551,-0.844,2017-06-06 16:09:22.650000
TD6,dx,dom,0.609,-0.828,-1.227,2017-06-06 16:09:22.662500
TD6,dx,dom,0.938,-1.07,-1.375,2017-06-06 16:09:22.675000
TD6,dx,dom,1.27,-1.301,-1.523,2017-06-06 16:09:22.687500
TD6,dx,dom,1.305,-1.441,-1.484,2017-06-06 16:09:22.700000
TD6,dx,dom,0.984,-1.465,-1.383,2017-06-06 16:09:22.712500
TD6,dx,dom,0.676,-1.402,-1.246,2017-06-06 16:09:22.725000
TD6,dx,dom,0.402,-1.191,-0.949,2017-06-06 16:09:22.737500
TD6,dx,dom,0.297,-0.949,-0.691,2017-06-06 16:09:22.750000
TD6,dx,dom,0.379,-0.664,-0.492,2017-06-06 16:09:22.762500
TD6,dx,dom,0.477,-0.301,-0.285,2017-06-06 16:09:22.775000
TD6,dx,dom,0.398,0.055,-0.098,2017-06-06 16:09:22.787500
TD6,dx,dom,0.223,0.352,0.082,2017-06-06 16:09:22.800000
TD6,dx,dom,0.047,0.691,0.398,2017-06-06 16:09:22.812500
TD6,dx,dom,-0.133,1.199,1.027,2017-06-06 16:09:22.825000
TD6,dx,dom,-0.301,2.145,1.461,2017-06-06 16:09:22.837500
TD6,dx,dom,-0.367,2.762,1.328,2017-06-06 16:09:22.850000
TD6,dx,dom,-0.219,2.164,0.48,2017-06-06 16:09:22.862500
TD6,dx,dom,0.215,1.418,-0.488,2017-06-06 16:09:22.875000
TD6,dx,dom,0.781,0.816,-0.805,2017-06-06 16:09:22.887500
TD6,dx,dom,1.004,0.668,-0.637,2017-06-06 16:09:22.900000
