Axis1,Axis2,Axis3,hand,session,datetime,id
136,67,75,sx,ndom,2017-05-16 16:42:58,TD0
85,70,60,sx,ndom,2017-05-16 16:42:59,TD0
91,73,88,sx,ndom,2017-05-16 16:43:00,TD0
72,77,76,sx,ndom,2017-05-16 16:43:01,TD0
71,82,51,sx,ndom,2017-05-16 16:43:02,TD0
125,91,52,sx,ndom,2017-05-16 16:43:03,TD0
94,77,44,sx,ndom,2017-05-16 16:43:04,TD0
91,86,40,sx,ndom,2017-05-16 16:43:05,TD0
76,92,62,sx,ndom,2017-05-16 16:43:06,TD0
105,78,76,sx,ndom,2017-05-16 16:43:07,TD0
109,42,60,sx,ndom,2017-05-16 16:43:08,TD0
91,82,49,sx,ndom,2017-05-16 16:43:09,TD0
89,140,83,sx,ndom,2017-05-16 16:43:10,TD0
71,90,60,sx,ndom,2017-05-16 16:43:11,TD0
107,82,80,sx,ndom,2017-05-16 16:43:12,TD0
76,210,78,sx,ndom,2017-05-16 16:43:13,TD0
89,250,44,sx,ndom,2017-05-16 16:43:14,TD0
98,131,73,sx,ndom,2017-05-16 16:43:15,TD0
78,139,73,sx,ndom,2017-05-16 16:43:16,TD0
86,116,22,sx,ndom,2017-05-16 16:43:17,TD0
49,95,41,sx,ndom,2017-05-16 16:43:18,TD0
58,117,65,sx,ndom,2017-05-16 16:43:19,TD0
38,121,28,sx,ndom,2017-05-16 16:43:20,TD0
60,85,62,sx,ndom,2017-05-16 16:43:21,TD0
55,78,48,sx,ndom,2017-05-16 16:43:22,TD0
58,106,40,sx,ndom,2017-05-16 16:43:23,TD0
68,71,54,sx,ndom,2017-05-16 16:43:24,TD0
55,121,50,sx,ndom,2017-05-16 16:43:25,TD0
82,62,33,sx,ndom,2017-05-16 16:43:26,TD0
51,125,20,sx,ndom,2017-05-16 16:43:27,TD0
78,124,56,sx,ndom,2017-05-16 16:43:28,TD0
83,95,50,sx,ndom,2017-05-16 16:43:29,TD0
112,122,58,sx,ndom,2017-05-16 16:43:30,TD0
78,92,51,sx,ndom,2017-05-16 16:43:31,TD0
62,107,65,sx,ndom,2017-05-16 16:43:32,TD0
107,117,42,sx,ndom,2017-05-16 16:43:33,TD0
123,133,59,sx,ndom,2017-05-16 16:43:34,TD0
144,59,97,sx,ndom,2017-05-16 16:43:35,TD0
0,0,0,dx,ndom,2017-05-16 16:42:35,TD0
0,4,0,dx,ndom,2017-05-16 16:42:36,TD0
0,0,0,dx,ndom,2017-05-16 16:42:37,TD0
0,0,0,dx,ndom,2017-05-16 16:42:38,TD0
0,0,0,dx,ndom,2017-05-16 16:42:39,TD0
0,0,0,dx,ndom,2017-05-16 16:42:40,TD0
0,0,0,dx,ndom,2017-05-16 16:42:41,TD0
0,0,0,dx,ndom,2017-05-16 16:42:42,TD0
0,0,0,dx,ndom,2017-05-16 16:42:43,TD0
0,0,0,dx,ndom,2017-05-16 16:42:44,TD0
0,0,0,dx,ndom,2017-05-16 16:42:45,TD0
